#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-11-07 15:38:52.434
#Start: 1000 Hz
#Stop: 5000 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#raw
#
Frequency (Hz),Channel 1 Magnitude (dB)
1000,-37.27375217931342
1003.224061968681,-37.28865741521484
1006.45851851294,-37.22681022138063
1009.703403145532,-37.08423118094593
1012.958749487261,-36.99367067150919
1016.224591267326,-37.00113920484428
1019.500962323669,-36.98868634646114
1022.78789660333,-36.88787011414949
1026.085428162796,-36.85472685202824
1029.393591168354,-36.82254621266708
1032.712419896443,-36.7137021869578
1036.041948734015,-36.74577499580536
1039.382212178887,-36.61843366408772
1042.733244840096,-36.68961035954624
1046.095081438265,-36.61091719029989
1049.467756805954,-36.58812490527828
1052.851305888028,-36.41184701761128
1056.245763742018,-36.39799975308686
1059.651165538479,-36.39497370201034
1063.06754656136,-36.23144544490044
1066.494942208368,-36.38553275214687
1069.933387991332,-36.13978541568165
1073.382919536577,-36.22870992319726
1076.843572585286,-36.1975577181741
1080.315382993877,-36.01738842339424
1083.798386734368,-36.03922173586352
1087.292619894756,-36.07788952455824
1090.798118679386,-35.90333702582809
1094.314919409329,-35.86890116693871
1097.843058522757,-35.96000718909033
1101.38257257532,-35.82754066156468
1104.933498240528,-35.81145748905519
1108.495872310127,-35.63564495773094
1112.069731694482,-35.6604444826211
1115.655113422959,-35.59375505360567
1119.252054644311,-35.52055994572128
1122.860592627057,-35.51269214059553
1126.480764759876,-35.39472049639825
1130.11260855199,-35.45720715274378
1133.756161633548,-35.34873780777337
1137.411461756029,-35.35807436294802
1141.078546792618,-35.22059525742921
1144.75745473861,-35.13885992740181
1148.448223711797,-35.16298844183913
1152.150891952865,-35.04283830681403
1155.865497825792,-34.90772667713851
1159.592079818242,-34.97643813126728
1163.330676541968,-34.7498635134263
1167.081326733207,-34.89764060088396
1170.844069253085,-34.62838850502705
1174.618943088019,-34.66112227027211
1178.405987350121,-34.62155640390901
1182.205241277602,-34.62211891244012
1186.016744235181,-34.68849836464572
1189.840535714488,-34.4918775898729
1193.67665533448,-34.36800552728931
1197.525142841846,-34.25852621695003
